Tanggal,Beras Premium,Beras Medium,Bawang Merah,Bawang Putih Bonggol,Cabai Merah Keriting,Daging Sapi Murni,Cabai Rawit Merah,Daging Ayam Ras,Telur Ayam Ras,Gula Konsumsi,Minyak Goreng Kemasan,Minyak Goreng Curah,Tepung Terigu (Curah),Tepung Terigu Kemasan,Ikan Kembung,Ikan Tongkol,Ikan Bandeng,Garam Konsumsi
2024-01-01,14000.0,11950.0,28500.0,36000.0,41000.0,110000.0,70000.0,32000.0,26000.0,16750.0,14000.0,15500.0,10000.0,12500.0,35000.0,35000.0,36000.0,10000.0
2024-01-02,14000.0,11950.0,28500.0,36500.0,55000.0,110000.0,66000.0,32000.0,26000.0,16750.0,14000.0,15500.0,10000.0,12500.0,35000.0,35000.0,36000.0,10000.0
2024-01-03,14000.0,11950.0,31000.0,37000.0,51000.0,110000.0,58500.0,32500.0,26000.0,16750.0,14000.0,15500.0,10000.0,12500.0,35000.0,35000.0,36000.0,10000.0
2024-01-04,14000.0,12450.0,28870.0,37495.0,47920.0,110000.0,51570.0,32250.0,25490.0,16875.0,14000.0,15245.0,10000.0,11000.0,35000.0,35000.0,33890.0,10000.0
2024-01-05,14000.0,11950.0,31500.0,37000.0,43500.0,110000.0,42500.0,32500.0,25000.0,16750.0,14000.0,15500.0,10000.0,12500.0,35000.0,35000.0,36000.0,10000.0
2024-01-06,14000.0,11950.0,31500.0,36500.0,46000.0,110000.0,42500.0,32500.0,25500.0,16750.0,14000.0,15500.0,10000.0,12500.0,35000.0,35000.0,36000.0,10000.0
2024-01-07,14000.0,11950.0,29000.0,37000.0,52500.0,110000.0,46500.0,32500.0,25500.0,16750.0,14000.0,15500.0,10000.0,12500.0,35000.0,35000.0,36000.0,10000.0
2024-01-08,14000.0,11950.0,27500.0,37000.0,50000.0,110000.0,46500.0,32500.0,25500.0,16750.0,14000.0,15500.0,10000.0,12500.0,35000.0,35000.0,36000.0,10000.0
2024-01-09,14000.0,11950.0,30000.0,36500.0,52500.0,110000.0,45000.0,32000.0,25000.0,16750.0,14000.0,15500.0,10000.0,12500.0,35000.0,35000.0,36000.0,10000.0
2024-01-10,14000.0,11950.0,29000.0,35500.0,55000.0,110000.0,42500.0,32000.0,25000.0,16750.0,14000.0,15500.0,10000.0,12500.0,35000.0,35000.0,36000.0,10000.0
2024-01-11,14000.0,11950.0,29000.0,35500.0,55000.0,112500.0,35000.0,32000.0,25500.0,16750.0,14000.0,15500.0,10000.0,12500.0,30000.0,30000.0,36000.0,10000.0
2024-01-12,14000.0,11950.0,29000.0,35500.0,52500.0,112500.0,30000.0,32000.0,25500.0,16750.0,14000.0,15500.0,10000.0,12500.0,30000.0,30000.0,33500.0,10000.0
2024-01-13,14000.0,11950.0,29000.0,35500.0,52500.0,112500.0,35000.0,32000.0,25000.0,16750.0,14000.0,15500.0,10000.0,12500.0,30000.0,30000.0,33500.0,10000.0
2024-01-14,14000.0,11950.0,30000.0,36000.0,52500.0,112500.0,40000.0,32000.0,25000.0,16750.0,14000.0,15500.0,10000.0,12500.0,30000.0,30000.0,33500.0,10000.0
2024-01-15,14000.0,11950.0,27500.0,36000.0,50000.0,112500.0,40000.0,32000.0,25000.0,16750.0,14000.0,15500.0,10000.0,12500.0,30000.0,30000.0,33500.0,10000.0
2024-01-16,14000.0,11950.0,27000.0,36000.0,52500.0,110000.0,32500.0,32000.0,25000.0,16750.0,14000.0,15500.0,10000.0,12500.0,30000.0,30000.0,33500.0,10000.0
2024-01-17,14000.0,11600.0,26333.0,35333.0,55000.0,111667.0,33000.0,32000.0,25333.0,16667.0,14000.0,15333.0,10000.0,12667.0,30000.0,30000.0,34000.0,10000.0
2024-01-18,14000.0,10900.0,25000.0,36000.0,45000.0,110000.0,28000.0,32000.0,27500.0,16500.0,14000.0,16000.0,10000.0,13000.0,31666.666666666668,30500.0,35000.0,10000.0
2024-01-19,14000.0,11950.0,26000.0,36500.0,47500.0,112500.0,29000.0,32000.0,25500.0,14750.0,14000.0,15500.0,10000.0,12500.0,30000.0,30000.0,33500.0,10000.0
2024-01-20,14000.0,11950.0,26000.0,36500.0,47500.0,112500.0,29000.0,32000.0,25500.0,16750.0,14000.0,15500.0,10000.0,12500.0,30000.0,30000.0,33500.0,10000.0
2024-01-21,14000.0,11950.0,27500.0,35000.0,50000.0,112500.0,34500.0,32500.0,26500.0,16500.0,14000.0,15500.0,10000.0,12500.0,30000.0,30000.0,33500.0,10000.0
2024-01-22,14000.0,11950.0,23500.0,37000.0,58500.0,112500.0,31000.0,32500.0,26500.0,16500.0,14000.0,15500.0,10000.0,12500.0,30000.0,30000.0,33500.0,10000.0
2024-01-23,14000.0,11950.0,22500.0,36000.0,59000.0,112500.0,29000.0,32500.0,26500.0,16500.0,14000.0,15500.0,10000.0,12500.0,30000.0,30000.0,31500.0,10000.0
2024-01-24,14000.0,11950.0,22500.0,36000.0,58500.0,112500.0,27000.0,32000.0,26500.0,16500.0,14000.0,15500.0,10000.0,12500.0,30000.0,30000.0,31500.0,10000.0
2024-01-25,14000.0,11950.0,25000.0,36000.0,58500.0,112500.0,27500.0,32000.0,26500.0,16500.0,14000.0,15500.0,10000.0,12500.0,30000.0,25000.0,31500.0,10000.0
2024-01-26,14000.0,11950.0,25000.0,36000.0,53500.0,112500.0,30000.0,32000.0,26000.0,16500.0,14000.0,15500.0,10000.0,12500.0,30000.0,25000.0,31500.0,10000.0
2024-01-27,14000.0,11950.0,25000.0,36000.0,51000.0,112500.0,30000.0,32000.0,26500.0,16500.0,14000.0,15500.0,10000.0,12500.0,30000.0,25000.0,31500.0,10000.0
2024-01-28,14000.0,11950.0,25000.0,35000.0,51000.0,112500.0,30000.0,32000.0,26500.0,16500.0,14000.0,15500.0,10000.0,12500.0,30000.0,25000.0,31500.0,10000.0
2024-01-29,14000.0,11950.0,22500.0,35000.0,48500.0,112500.0,29000.0,32000.0,26500.0,16500.0,14000.0,15500.0,10000.0,12500.0,30000.0,25000.0,31500.0,10000.0
2024-01-30,14000.0,11950.0,22500.0,35000.0,48500.0,112500.0,29000.0,32000.0,26500.0,16500.0,14000.0,15500.0,10000.0,12500.0,30000.0,25000.0,31500.0,10000.0
2024-01-31,14000.0,11950.0,22500.0,34500.0,53500.0,112500.0,30000.0,32000.0,26000.0,16500.0,14000.0,15500.0,10000.0,12500.0,30000.0,25000.0,31500.0,10000.0
2024-02-01,14000.0,11950.0,22500.0,34500.0,53500.0,112500.0,30000.0,32000.0,26000.0,16500.0,14000.0,15500.0,10000.0,12500.0,30000.0,25000.0,31500.0,10000.0
2024-02-02,14000.0,11950.0,22500.0,34500.0,47500.0,112500.0,28500.0,32000.0,26500.0,16500.0,14000.0,15500.0,10000.0,12500.0,30000.0,25000.0,31500.0,10000.0
2024-02-03,14000.0,11950.0,22500.0,33000.0,47500.0,112500.0,30000.0,32000.0,26500.0,16500.0,14000.0,15500.0,10000.0,12500.0,30000.0,25000.0,31500.0,10000.0
2024-02-04,14000.0,11950.0,22500.0,33000.0,52500.0,112500.0,30000.0,32000.0,26500.0,16500.0,14000.0,15500.0,10000.0,12500.0,30000.0,25000.0,31500.0,10000.0
2024-02-05,14000.0,11950.0,21000.0,34000.0,50000.0,112500.0,30000.0,32000.0,26500.0,16500.0,14000.0,15500.0,10000.0,12500.0,30000.0,25000.0,31500.0,10000.0
2024-02-06,14000.0,10900.0,22000.0,32000.0,50000.0,110000.0,30000.0,32000.0,27000.0,16500.0,14000.0,16000.0,10000.0,13000.0,30000.0,27642.85714285714,35000.0,10000.0
2024-02-07,16000.0,12700.0,21000.0,36000.0,40000.0,112500.0,43500.0,32000.0,26500.0,16500.0,14000.0,15500.0,10000.0,12500.0,30000.0,25000.0,31500.0,10000.0
2024-02-08,16000.0,12700.0,22000.0,36000.0,52500.0,112500.0,38500.0,32500.0,26500.0,16500.0,14000.0,15500.0,10000.0,12500.0,30000.0,30000.0,31500.0,10000.0
2024-02-09,16000.0,12700.0,22000.0,36000.0,50000.0,112500.0,42500.0,32500.0,26500.0,16500.0,14000.0,15500.0,10000.0,12500.0,30000.0,30000.0,32000.0,10000.0
2024-02-10,16000.0,12700.0,22500.0,36500.0,52500.0,112500.0,42500.0,32500.0,26500.0,16500.0,14000.0,15500.0,10000.0,12500.0,30000.0,30000.0,32000.0,10000.0
2024-02-11,16500.0,12950.0,24000.0,36500.0,55000.0,112500.0,47500.0,32500.0,26500.0,16500.0,14000.0,15500.0,10000.0,12500.0,30000.0,30000.0,32000.0,10000.0
2024-02-12,17000.0,12950.0,24000.0,36000.0,57500.0,112500.0,48000.0,33000.0,26500.0,16500.0,14000.0,15500.0,10000.0,12500.0,30000.0,30000.0,32000.0,10000.0
2024-02-13,17000.0,12950.0,24000.0,36000.0,60000.0,112500.0,56000.0,33000.0,26500.0,16500.0,14000.0,15000.0,10000.0,12500.0,30000.0,30000.0,32000.0,10000.0
2024-02-14,17000.0,15000.0,22000.0,36000.0,55000.0,115000.0,55000.0,33000.0,26000.0,16500.0,14000.0,15000.0,10000.0,12000.0,30000.0,30000.0,28000.0,10000.0
2024-02-15,17000.0,12950.0,23500.0,35500.0,65000.0,112500.0,63500.0,33000.0,26500.0,16500.0,14000.0,15500.0,10000.0,12500.0,30000.0,30000.0,32000.0,10000.0
2024-02-16,17000.0,12950.0,24000.0,35500.0,66000.0,112500.0,70000.0,33000.0,26500.0,16500.0,14000.0,15500.0,10000.0,12500.0,30000.0,30000.0,34000.0,10000.0
2024-02-17,17000.0,12950.0,24000.0,35500.0,63500.0,112500.0,70000.0,33000.0,27500.0,16500.0,14000.0,15500.0,10000.0,12500.0,30000.0,30000.0,34000.0,10000.0
2024-02-18,17000.0,13200.0,22500.0,35500.0,61000.0,112500.0,72500.0,33000.0,28000.0,16500.0,14000.0,15500.0,10000.0,12500.0,30000.0,30000.0,34000.0,10000.0
2024-02-19,17200.0,13200.0,22500.0,35500.0,61000.0,117500.0,67500.0,33000.0,28000.0,16500.0,14000.0,16000.0,10000.0,12500.0,30000.0,30000.0,34000.0,10000.0
2024-02-20,17200.0,13200.0,22500.0,35500.0,63500.0,117500.0,62500.0,33000.0,28000.0,16500.0,14000.0,16000.0,10000.0,12500.0,30000.0,30000.0,34000.0,10000.0
2024-02-21,17200.0,13200.0,22500.0,35500.0,68500.0,117500.0,65000.0,33000.0,28000.0,16500.0,14000.0,16000.0,10000.0,12500.0,30000.0,30000.0,34000.0,10000.0
2024-02-22,17200.0,13200.0,24000.0,35500.0,76000.0,117500.0,67500.0,33000.0,28000.0,16500.0,14000.0,16000.0,10000.0,12500.0,30000.0,30000.0,34000.0,10000.0
2024-02-23,17200.0,13200.0,24000.0,35500.0,76000.0,117500.0,67500.0,33000.0,28500.0,16500.0,14000.0,16000.0,10000.0,12500.0,30000.0,20000.0,33000.0,10000.0
2024-02-24,17200.0,13200.0,22500.0,35500.0,73500.0,117500.0,51000.0,33000.0,29000.0,16500.0,14000.0,16000.0,10000.0,12500.0,30000.0,20000.0,33000.0,10000.0
2024-02-25,17200.0,13200.0,22500.0,35500.0,73500.0,117500.0,51000.0,33000.0,29000.0,16500.0,14000.0,16000.0,10000.0,12500.0,30000.0,25000.0,33000.0,10000.0
2024-02-26,17200.0,13200.0,21000.0,36000.0,77500.0,117500.0,56000.0,33000.0,28500.0,16500.0,14000.0,16000.0,10000.0,12500.0,30000.0,25000.0,33000.0,10000.0
2024-02-27,17200.0,13200.0,21000.0,36000.0,61000.0,117500.0,50000.0,33000.0,28500.0,16500.0,14000.0,16000.0,10000.0,12500.0,30000.0,28000.0,33000.0,10000.0
2024-02-28,17200.0,13200.0,21000.0,36000.0,61000.0,117500.0,50000.0,33000.0,28500.0,16500.0,14000.0,16000.0,10000.0,12500.0,30000.0,28000.0,33000.0,10000.0
2024-02-29,17200.0,13200.0,21000.0,36000.0,61000.0,117500.0,52500.0,33500.0,29000.0,16500.0,14000.0,16000.0,10000.0,12500.0,30000.0,28000.0,33000.0,10000.0
2024-03-01,17200.0,11950.0,21000.0,36000.0,61000.0,117500.0,51000.0,33500.0,29000.0,16500.0,14000.0,16000.0,10000.0,12500.0,30000.0,28000.0,33000.0,10000.0
2024-03-02,17200.0,11950.0,26000.0,36500.0,51000.0,117500.0,43500.0,34000.0,30000.0,16500.0,14000.0,16000.0,10000.0,12500.0,30000.0,28000.0,34000.0,10000.0
2024-03-03,17200.0,11950.0,23500.0,36500.0,52500.0,117500.0,46000.0,34000.0,30000.0,16500.0,14000.0,16000.0,10000.0,12500.0,30000.0,28000.0,34000.0,10000.0
2024-03-04,17000.0,11950.0,22500.0,36500.0,55000.0,117500.0,56000.0,34000.0,30000.0,16500.0,14000.0,16000.0,10000.0,12500.0,30000.0,28000.0,34000.0,10000.0
