Tanggal,Beras Premium,Beras Medium,Beras SPHP,Jagung Tk Peternak,Kedelai Biji Kering (Impor),Bawang Merah,Bawang Putih Bonggol,Cabai Merah Keriting,Cabai Merah Besar,Daging Sapi Murni,Cabai Rawit Merah,Daging Ayam Ras,Telur Ayam Ras,Gula Konsumsi,Minyak Goreng Kemasan,Minyak Goreng Curah,Tepung Terigu (Curah),Minyakita,Tepung Terigu Kemasan,Ikan Kembung,Ikan Tongkol,Ikan Bandeng,Garam Konsumsi,Daging Kerbau Beku (Impor),Daging Kerbau Segar (Lokal)
01/03/2021,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
02/03/2021,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
03/03/2021,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
04/03/2021,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
05/03/2021,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
06/03/2021,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
07/03/2021,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
08/03/2021,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
09/03/2021,12500,10500,0,0,10000,36000,28000,60000,0,105000,110000,29000,24000,12000,14000,0,7500,0,0,0,0,0,0,0,0
10/03/2021,12500,10500,0,0,11000,35000,28000,50000,0,105000,110000,30000,24000,12000,14000,0,7500,0,0,0,0,0,0,0,0
11/03/2021,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12/03/2021,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13/03/2021,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14/03/2021,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15/03/2021,12800,10500,0,0,10000,35000,28000,60000,0,105000,110000,30000,22500,12000,14000,0,7500,0,0,0,0,0,0,0,0
16/03/2021,12500,10500,0,0,11000,35000,26000,60000,0,105000,115000,30000,22500,12000,13500,0,7500,0,0,0,0,0,0,0,0
17/03/2021,12500,10500,0,0,11000,35000,26000,60000,0,105000,115000,30000,22500,12000,13500,0,7500,0,0,0,0,0,0,0,0
18/03/2021,12500,10500,0,0,10000,35000,26000,60000,0,105000,115000,30000,22500,12000,13500,0,7500,0,0,0,0,0,0,0,0
19/03/2021,12500,10500,0,0,10000,35000,26000,60000,0,105000,110000,30000,22500,12000,13500,0,7500,0,0,0,0,0,0,0,0
20/03/2021,12500,10500,0,0,10000,34000,26000,46000,0,105000,110000,30000,22500,12000,13500,0,7500,0,0,0,0,0,0,0,0
21/03/2021,12500,10500,0,0,10500,32000,26000,48000,0,105000,110000,30000,22500,12000,13500,0,7500,0,0,0,0,0,0,0,0
22/03/2021,12500,10500,0,0,10000,32000,26000,48000,0,105000,110000,30000,22500,12000,13500,0,7500,0,0,0,0,0,0,0,0
23/03/2021,12500,10500,0,0,10000,32000,26000,45000,0,105000,100000,31000,22000,12000,13500,0,7500,0,0,0,0,0,0,0,0
24/03/2021,12500,10500,0,0,10000,32000,26000,45000,0,105000,100000,31000,22000,12000,13500,0,7500,0,0,0,0,0,0,0,0
25/03/2021,12500,10500,0,0,10000,34000,27000,50000,0,105000,90000,31000,22000,12000,13500,0,7500,0,0,0,0,0,0,0,0
26/03/2021,12500,10500,0,0,9800,34000,27000,50000,0,105000,90000,30000,21000,12000,13500,0,7500,0,0,0,0,0,0,0,0
27/03/2021,12500,10500,0,0,10000,32000,27000,50000,0,105000,90000,31000,22000,12000,13500,0,7500,0,0,0,0,0,0,0,0
28/03/2021,12500,10500,0,0,10000,34000,27000,50000,0,105000,90000,31000,21000,12000,13500,0,7500,0,0,0,0,0,0,0,0
